Course Code,Course Name,TK,AKTS,Type,Class Type,Instructor Name,Semester
CEMU4074,Çevre Mühendisliğinde Proje Yönetimi,2,3,Seçmeli,Ders,"Prof. Dr. Neşe TÜFEKCİ, Dr.Öğr.Üyesi Güler TÜRKOĞLU DEMİRKOL",6
CEMU3014,Endüstriyel Atık Yönetimi,2,3,Seçmeli,Ders,Prof. Dr. İlda VERGİLİ,6
CEMU3067,Enstrümental Analiz,2,3,Seçmeli,Ders,Prof. Dr. İlda VERGİLİ,6
CEMU3069,Hava Kirliliği Ölçme Teknikleri,2,3,Seçmeli,Ders,Prof. Dr. Ülkü ALVER ŞAHİN,6
CEMU3034,Hava Kirliliği ve Kontrolü,2.5,3,Zorunlu,Uygulamalı Ders,Prof. Dr. Ülkü ALVER ŞAHİN,6
CEMU4021,Özel ve Tehlikeli Atıklar,2,3,Seçmeli,Ders,Doç.Dr. Ender ÇETİN,6
CEMU3029,Su Kalite Kontrolü,3,3,Zorunlu,Ders,Prof. Dr. Nilgün BALKAYA,6
CEMU3001,Suların Arıtılması,2.5,3,Zorunlu,Uygulamalı Ders,Prof. Dr. Hüseyin SELÇUK,6
CEMU4056,Arıtma Tesislerinde Yapı Teknolojileri,2,3,Seçmeli,Ders,Prof. Dr. Nilgün BALKAYA,7
CEMU4084,Atık Yönetiminde Arıtma/Depolama/Uzaklaştırma Yaklaşımları,2,3,Seçmeli,Ders,Prof. Dr. Atakan ÖNGEN,7
CEMU4015,Atıksuların Arıtılması,3,4,Zorunlu,Uygulamalı Ders,Prof. Dr. Z. Beril ÖZÇELEP,7
CEMU4017,Çevre Ekonomisi,2.5,3,Zorunlu,Uygulamalı Ders,Prof. Dr. Neşe TÜFEKÇİ,7
CEMU4054,Çevre Etki Değerlendirme,2,3,Seçmeli,Ders,Prof. Dr. Z. Beril ÖZÇELEP,7
CEMU4023,Çevre Hukuku,2,2,Zorunlu,Ders,Doç.Dr. Naim SEZGİN,7
CEMU3039,Denize Deşarj Yapıları,2,3,Seçmeli,Ders,Prof.Dr. Semih NEMLİOĞLU,7
CEMU4035,Hava Kirliliği Modellemesi,2,3,Seçmeli,Ders,Prof. Dr. Ülkü ALVER ŞAHİN,7
CEMU4014,Kirlenmiş Ortamlarda Ağır Metal Giderimi,2,3,Seçmeli,Ders,Prof. Dr. Emine E. ÖZBAŞ,7
CEMU4042,Suların İleri Arıtım Teknolojileri I,2,3,Seçmeli,Ders,Prof. Dr. Yasemin KAYA,7
CEMU4012,Toprak ve Yeraltı Sularının İyileştirilmesi,3,2,Zorunlu,Ders,Prof. Dr. Nilgün BALKAYA,7
CEMU4082,Yaşam Döngü Analizi Esasları,2,3,Seçmeli,Ders,Prof. Dr. İlda VERGİLİ,7
CEMU4013,Arıtma Çamurlarının Yönetimi,2,3,Zorunlu,Ders,Prof. Dr. Serdar AYDIN,8
CEMU4010,Arıtma Tesislerinin İşletilmesi,2,3,Seçmeli,Ders,Prof. Dr. Emine ELMASLAR ÖZBAŞ,8
CEMU4018,Atıksuların Geri Kazanımı ve Yeniden Kullanımı,2,3,Seçmeli,Ders,Prof. Dr. Yasemin KAYA,8
CEMU4022,Endüstriyel Atıksuların Kontrolü,2.5,4,Zorunlu,Uygulamalı Ders,Prof. Dr. Yasemin KAYA,8
CEMU4062,İş Sağlığı ve Güvenliği,2,3,Seçmeli,Ders,Prof. Dr. Burcu ONAT,8
CEMU4073,Kentsel Hava Kalitesi Yönetimi,2,3,Seçmeli,Ders,Prof.Dr. Ülkü A. ŞAHİN,8
CEMU4043,Suların İleri Arıtma Teknolojileri II,2,3,Seçmeli,Ders,Prof. Dr. Z. Beril ÖZÇELEP,8
CEMU4024,Yüzeysel Suların Modellenmesi,2.5,4,Zorunlu,Uygulamalı Ders,Prof. Dr. Atakan ÖNGEN,8
750,Laboratuar Stajı,0,3,Zorunlu,Staj,manual,4
CEMU4020,Çevre Mühendisliğinde Moleküler Teknikler,2,3,Seçmeli,Ders,manual,5
CEMU3070,Çevre Mühendisliğinde Yapay Zeka Uygulamaları,2,3,Seçmeli,Ders,manual,5
CEMU3033,Enerji ve Çevre,2,3,Seçmeli,Ders,manual,6
751,İşletme Stajı,0,2,Zorunlu,Staj,manual,6
CEMU4050,Bitirme Projesi I,2,5,Zorunlu,Uygulamalı Ders,manual,7
CEMU4019,Aktif Çamur Mikrobiyolojisi,2,3,Seçmeli,Ders,manual,8
CEMU4060,Bitirme Projesi II,2,3,Zorunlu,Uygulamalı Ders,manual,8
