Course Code,Course Name,TK,AKTS,Type,Class Type,Instructor Name,Semester
CEMI4004,Environmental Economics,2.5,3,Zorunlu,Uygulamalı Ders,Assoc. Prof. Dr. Adem YURTSEVER,7
CEMI4006,Environmental Impact Assessment,2,3,Seçmeli,Ders,Assoc. Prof. Dr. Ülkü KALAYCI ŞAHİNOĞLU,7
CEMI4003,Environmental Law,2,2,Zorunlu,Ders,Prof. Dr. M. Yusuf GÜNEŞ,7
CEMI4011,Fundamentals of Life Cycle Analysis,2,3,Seçmeli,Ders,Assoc. Prof. Dr. Deniz ADIGÜZEL,7
CEMI3012,Marine Wastewater Outfalls,2,3,Seçmeli,Ders,Prof. Dr. Semih NEMLİOĞLU,7
CEMI4002,Soil and Groundwater Remediation,3,2,Zorunlu,Ders,Prof. Dr. Emine ELMASLAR ÖZBAŞ,7
CEMI4015,Treatment/Storage/Disposal Approaches in Waste Management,2,3,Seçmeli,Ders,Prof. Dr. Atakan ÖNGEN,7
CEMI4001,Wastewater Treatment,3,4,Zorunlu,Uygulamalı Ders,Assist. Prof. Dr. Güler TÜRKOĞLU DEMİRKOL,7
CEMI4022,Advanced Water Treatment Technologies II,2,3,Seçmeli,Ders,Assoc. Prof.Dr. Adem YURTSEVER,8
CEMI4018,Industrial Wastewater Control,2.5,4,Zorunlu,Ders,Assist.Prof. Dr. Ceyhun AKARSU,8
CEMI4028,Occupational Health and Safety,2,3,Seçmeli,Ders,Assoc. Prof. Dr. Can GÜNGÖREN,8
CEMI4023,Operation of Treatment Plants,2,3,Seçmeli,Ders,Prof. Dr. Emine E. ÖZBAŞ,8
CEMI4021,Recycling and Reuse of Wastewater,2,3,Seçmeli,Ders,Assist. Prof. Dr. Güler TÜRKOĞLU DEMİRKOL,8
CEMI4020,Selected Topics in Solid Wastewater Management,2,3,Seçmeli,Ders,Prof.Dr. Bülent ARMAĞAN,8
CEMI4016,Sludge Management,2,3,Zorunlu,Ders,Prof.Dr. Gülsüm YILMAZ,8
CEMI4017,Surface Water Modeling,2.5,4,Zorunlu,Ders,Prof. Dr. Atakan ÖNGEN,8
CEMI4027,Thermal Processes and Applications in Environmental Engineering,2,3,Seçmeli,Ders,Prof. Dr. Atakan ÖNGEN,8
PREP0004,English Preparatory Program,0,0,Zorunlu,Hazirlik Dersi,manual,0
CEMI2010,Public Health and Environment,2,3,Seçmeli,Ders,manual,3
CEMI2021,Environmental Toxicology,2,3,Seçmeli,Ders,manual,4
CEMI2025,Laboratory Internship,0,3,Zorunlu,Staj,manual,4
CEMI2022,Marine and Lake Sciences,2,3,Seçmeli,Ders,manual,4
CEMI3007,Biodiversity and Nature Conservation,2,3,Seçmeli,Ders,manual,5
CEMI2012,Environmental Policy and Applications in European Union,2,3,Seçmeli,Ders,manual,5
CEMI3006,Environmental Resources Management,2,3,Seçmeli,Ders,manual,5
CEMI3028,Business Internship,0,2,Zorunlu,Staj,manual,6
CEMI3024,Industrial Waste Management,2,3,Seçmeli,Ders,manual,6
CEMI4024,Project Management in Environmental Engineering,2,3,Seçmeli,Ders,manual,6
CEMI3025,Treatment Plant Hydraulics,2,3,Seçmeli,Ders,manual,6
CEMI4009,Air Pollution Modeling,2,3,Seçmeli,Ders,manual,7
CEMI4007,Construction Technologies in Treatment Plants,2,3,Seçmeli,Ders,manual,7
CEMI4005,Graduation Project I,2,5,Zorunlu,Uygulamalı Ders,manual,7
CEMI4013,Heavy Metal Removal from Contaminated Environments,2,3,Seçmeli,Ders,manual,7
CEMI4026,Activated Sludge Microbiology,2,3,Seçmeli,Ders,manual,8
CEMI4032,Complex Engineering Design,1,2,Zorunlu,Ders,manual,8
